dataSetIndex,algo_index,query_nums,time
0,8,176,51
0,8,177,63
0,8,178,43
0,8,179,17
0,8,180,25
0,8,181,51
0,8,182,64
0,8,183,45
0,8,184,55
0,8,185,43
0,8,186,46
0,8,187,72
0,8,188,51
0,8,189,15
0,8,190,42
0,8,191,24
0,8,192,24
0,8,193,61
0,8,194,21
0,8,195,15
0,8,196,57
0,8,197,74
0,8,198,34
0,8,199,43
0,8,200,57
1,8,1,741
1,8,2,667
1,8,3,628
1,8,4,779
1,8,5,192
1,8,6,668
1,8,7,676
1,8,8,530
1,8,9,457
1,8,10,64
1,8,11,335
1,8,12,350
1,8,13,326
1,8,14,252
1,8,15,459
1,8,16,308
1,8,17,435
1,8,18,485
1,8,19,173
1,8,20,142
1,8,21,50
1,8,22,351
1,8,23,502
1,8,24,194
1,8,25,407
1,8,26,395
1,8,27,96
1,8,28,96
1,8,29,44
1,8,30,383
1,8,31,44
1,8,32,402
1,8,33,289
1,8,34,473
1,8,35,225
1,8,36,31
1,8,37,360
1,8,38,265
1,8,39,448
1,8,40,381
1,8,41,354
1,8,42,232
1,8,43,165
1,8,44,40
1,8,45,264
1,8,46,389
1,8,47,34
1,8,48,393
1,8,49,188
1,8,50,37
1,8,51,428
1,8,52,469
1,8,53,532
1,8,54,53
1,8,55,46
1,8,56,401
1,8,57,250
1,8,58,442
1,8,59,315
1,8,60,272
1,8,61,496
1,8,62,469
1,8,63,25
1,8,64,371
1,8,65,121
1,8,66,55
1,8,67,317
1,8,68,78
1,8,69,52
1,8,70,72
1,8,71,122
1,8,72,183
1,8,73,562
1,8,74,148
1,8,75,408
1,8,76,271
1,8,77,387
1,8,78,50
1,8,79,347
1,8,80,496
1,8,81,396
1,8,82,437
1,8,83,461
1,8,84,494
1,8,85,458
1,8,86,454
1,8,87,464
1,8,88,354
1,8,89,345
1,8,90,355
1,8,91,257
1,8,92,265
1,8,93,308
1,8,94,306
1,8,95,317
1,8,96,321
1,8,97,310
1,8,98,163
1,8,99,257
1,8,100,290
1,8,101,291
1,8,102,288
1,8,103,292
1,8,104,261
1,8,105,239
1,8,106,273
1,8,107,268
1,8,108,286
1,8,109,54
1,8,110,51
1,8,111,31
1,8,112,27
1,8,113,311
1,8,114,224
1,8,115,325
1,8,116,161
1,8,117,278
1,8,118,307
1,8,119,325
1,8,120,296
1,8,121,236
1,8,122,174
1,8,123,279
1,8,124,266
1,8,125,289
1,8,126,282
1,8,127,199
1,8,128,297
1,8,129,298
1,8,130,277
1,8,131,233
1,8,132,186
1,8,133,188
1,8,134,279
1,8,135,33
1,8,136,279
1,8,137,167
1,8,138,290
1,8,139,237
1,8,140,261
1,8,141,273
1,8,142,184
1,8,143,323
1,8,144,43
1,8,145,24
1,8,146,138
1,8,147,196
1,8,148,153
1,8,149,149
1,8,150,106
1,8,151,42
1,8,152,28
1,8,153,46
1,8,154,43
1,8,155,41
1,8,156,41
1,8,157,47
1,8,158,37
1,8,159,50
1,8,160,308
1,8,161,28
1,8,162,99
1,8,163,236
1,8,164,315
1,8,165,127
1,8,166,198
1,8,167,194
1,8,168,149
1,8,169,174
1,8,170,28
1,8,171,225
1,8,172,285
1,8,173,174
1,8,174,119
1,8,175,354
1,8,176,151
1,8,177,269
1,8,178,268
1,8,179,145
1,8,180,178
1,8,181,186
1,8,182,189
1,8,183,246
1,8,184,249
1,8,185,35
1,8,186,268
1,8,187,295
1,8,188,374
1,8,189,255
1,8,190,292
1,8,191,227
1,8,192,301
1,8,193,198
1,8,194,211
1,8,195,38
1,8,196,255
1,8,197,219
1,8,198,316
1,8,199,232
1,8,200,329
2,8,1,1487
2,8,2,1312
2,8,3,1492
2,8,4,1769
2,8,5,841
2,8,6,2457
2,8,7,1470
2,8,8,980
2,8,9,1193
2,8,10,529
2,8,11,551
2,8,12,1458
2,8,13,1677
2,8,14,540
2,8,15,685
2,8,16,1074
2,8,17,1338
2,8,18,1544
2,8,19,1359
2,8,20,927
2,8,21,1389
2,8,22,1234
2,8,23,830
2,8,24,126
2,8,25,680
2,8,26,1504
2,8,27,669
2,8,28,768
2,8,29,1256
2,8,30,1135
2,8,31,1172
2,8,32,1000
2,8,33,1333
2,8,34,338
2,8,35,1462
2,8,36,619
2,8,37,1126
2,8,38,998
2,8,39,1330
2,8,40,915
2,8,41,1239
2,8,42,1223
2,8,43,495
2,8,44,1282
2,8,45,659
2,8,46,582
2,8,47,1172
2,8,48,1100
2,8,49,1516
2,8,50,1252
2,8,51,679
2,8,52,1088
2,8,53,1333
2,8,54,774
2,8,55,839
2,8,56,765
2,8,57,1379
2,8,58,1497
2,8,59,1436
2,8,60,1240
2,8,61,1298
2,8,62,1192
2,8,63,1297
2,8,64,628
2,8,65,1107
2,8,66,653
2,8,67,583
2,8,68,1231
2,8,69,1954
2,8,70,1097
2,8,71,423
2,8,72,514
2,8,73,1315
2,8,74,1195
2,8,75,1224
2,8,76,408
2,8,77,648
