dataSet,theta,crackBound,algo_index,time
202402-divvy-tripdata,1400.0,3000.0,7,3176
202402-divvy-tripdata,1400.0,3500.0,7,3210
202402-divvy-tripdata,1400.0,500.0,8,6259
202402-divvy-tripdata,1400.0,1000.0,8,6391
202402-divvy-tripdata,1400.0,1500.0,8,6641
202402-divvy-tripdata,1400.0,2000.0,8,6528
202402-divvy-tripdata,1400.0,2500.0,8,6633
202402-divvy-tripdata,1400.0,3000.0,8,6647
202402-divvy-tripdata,1400.0,3500.0,8,6586
202403-capitalbikeshare-tripdata,1400.0,500.0,0,77828
202403-capitalbikeshare-tripdata,1400.0,1000.0,0,78088
202403-capitalbikeshare-tripdata,1400.0,1500.0,0,78013
202403-capitalbikeshare-tripdata,1400.0,2000.0,0,78077
202403-capitalbikeshare-tripdata,1400.0,2500.0,0,77991
202403-capitalbikeshare-tripdata,1400.0,3000.0,0,78374
202403-capitalbikeshare-tripdata,1400.0,3500.0,0,78215
202403-capitalbikeshare-tripdata,1400.0,500.0,1,44847
202403-capitalbikeshare-tripdata,1400.0,1000.0,1,44509
202403-capitalbikeshare-tripdata,1400.0,1500.0,1,44702
202403-capitalbikeshare-tripdata,1400.0,2000.0,1,44683
202403-capitalbikeshare-tripdata,1400.0,2500.0,1,44683
202403-capitalbikeshare-tripdata,1400.0,3000.0,1,45114
202403-capitalbikeshare-tripdata,1400.0,3500.0,1,44698
202403-capitalbikeshare-tripdata,1400.0,500.0,2,46430
202403-capitalbikeshare-tripdata,1400.0,1000.0,2,46353
202403-capitalbikeshare-tripdata,1400.0,1500.0,2,46210
202403-capitalbikeshare-tripdata,1400.0,2000.0,2,46309
202403-capitalbikeshare-tripdata,1400.0,2500.0,2,46175
202403-capitalbikeshare-tripdata,1400.0,3000.0,2,46870
202403-capitalbikeshare-tripdata,1400.0,3500.0,2,46519
202403-capitalbikeshare-tripdata,1400.0,500.0,3,44151
202403-capitalbikeshare-tripdata,1400.0,1000.0,3,43630
202403-capitalbikeshare-tripdata,1400.0,1500.0,3,43321
202403-capitalbikeshare-tripdata,1400.0,2000.0,3,43927
202403-capitalbikeshare-tripdata,1400.0,2500.0,3,43665
202403-capitalbikeshare-tripdata,1400.0,3000.0,3,43944
202403-capitalbikeshare-tripdata,1400.0,3500.0,3,43768
