dataSetIndex,algo_index,query_nums,time
0,0,170,133
0,0,171,121
0,0,172,141
0,0,173,130
0,0,174,138
0,0,175,124
0,0,176,121
0,0,177,126
0,0,178,112
0,0,179,130
0,0,180,121
0,0,181,120
0,0,182,102
0,0,183,95
0,0,184,88
0,0,185,98
0,0,186,117
0,0,187,89
0,0,188,85
0,0,189,85
0,0,190,84
0,0,191,86
0,0,192,87
0,0,193,85
0,0,194,85
0,0,195,84
0,0,196,85
0,0,197,85
0,0,198,85
0,0,199,86
0,0,200,84
0,1,1,66
0,1,2,70
0,1,3,51
0,1,4,50
0,1,5,48
0,1,6,50
0,1,7,49
0,1,8,51
0,1,9,50
0,1,10,50
0,1,11,49
0,1,12,51
0,1,13,49
0,1,14,49
0,1,15,50
0,1,16,49
0,1,17,49
0,1,18,49
0,1,19,50
0,1,20,49
0,1,21,50
0,1,22,50
0,1,23,50
0,1,24,51
0,1,25,48
0,1,26,49
0,1,27,49
0,1,28,48
0,1,29,49
0,1,30,49
0,1,31,50
0,1,32,50
0,1,33,53
0,1,34,52
0,1,35,48
0,1,36,50
0,1,37,51
0,1,38,50
0,1,39,49
0,1,40,50
0,1,41,50
0,1,42,50
0,1,43,49
0,1,44,49
0,1,45,49
0,1,46,50
0,1,47,49
0,1,48,49
0,1,49,50
0,1,50,50
0,1,51,51
0,1,52,56
0,1,53,48
0,1,54,50
0,1,55,50
0,1,56,51
0,1,57,49
0,1,58,49
0,1,59,48
0,1,60,49
0,1,61,49
0,1,62,49
0,1,63,48
0,1,64,49
0,1,65,49
0,1,66,49
0,1,67,50
0,1,68,50
0,1,69,49
0,1,70,49
0,1,71,50
0,1,72,49
0,1,73,50
0,1,74,49
0,1,75,49
0,1,76,50
0,1,77,50
0,1,78,49
0,1,79,49
0,1,80,49
0,1,81,49
0,1,82,50
0,1,83,50
0,1,84,51
0,1,85,49
0,1,86,51
0,1,87,49
0,1,88,50
0,1,89,49
0,1,90,51
0,1,91,50
0,1,92,49
0,1,93,50
0,1,94,53
0,1,95,50
0,1,96,52
0,1,97,49
0,1,98,50
0,1,99,48
0,1,100,48
0,1,101,48
0,1,102,49
0,1,103,49
0,1,104,49
0,1,105,49
0,1,106,51
0,1,107,53
0,1,108,51
0,1,109,51
0,1,110,51
0,1,111,50
0,1,112,51
0,1,113,51
0,1,114,50
0,1,115,49
0,1,116,49
0,1,117,48
0,1,118,50
0,1,119,50
0,1,120,49
0,1,121,50
0,1,122,50
0,1,123,50
0,1,124,51
0,1,125,50
0,1,126,50
0,1,127,49
0,1,128,49
0,1,129,49
0,1,130,49
0,1,131,57
0,1,132,51
0,1,133,51
0,1,134,50
0,1,135,52
0,1,136,52
0,1,137,51
0,1,138,51
0,1,139,49
0,1,140,51
0,1,141,50
0,1,142,50
0,1,143,50
0,1,144,51
0,1,145,49
0,1,146,53
0,1,147,49
0,1,148,50
0,1,149,51
0,1,150,48
0,1,151,48
0,1,152,51
0,1,153,51
0,1,154,60
0,1,155,53
0,1,156,52
0,1,157,55
0,1,158,47
0,1,159,44
0,1,160,44
0,1,161,44
0,1,162,44
0,1,163,44
0,1,164,45
0,1,165,44
0,1,166,43
0,1,167,43
0,1,168,44
0,1,169,45
0,1,170,44
0,1,171,46
0,1,172,43
0,1,173,44
0,1,174,44
0,1,175,45
0,1,176,44
0,1,177,44
0,1,178,45
0,1,179,45
0,1,180,43
0,1,181,44
0,1,182,44
0,1,183,43
0,1,184,44
0,1,185,43
0,1,186,45
0,1,187,43
0,1,188,46
0,1,189,43
0,1,190,43
0,1,191,43
0,1,192,43
0,1,193,44
0,1,194,43
0,1,195,43
0,1,196,44
0,1,197,45
0,1,198,44
0,1,199,43
0,1,200,44
0,2,1,67
0,2,2,78
0,2,3,51
0,2,4,51
0,2,5,49
0,2,6,49
0,2,7,48
0,2,8,49
0,2,9,50
0,2,10,50
0,2,11,51
0,2,12,49
0,2,13,49
0,2,14,49
0,2,15,48
0,2,16,50
0,2,17,48
0,2,18,48
0,2,19,49
0,2,20,51
0,2,21,48
0,2,22,49
0,2,23,50
0,2,24,54
0,2,25,51
0,2,26,50
0,2,27,50
0,2,28,50
0,2,29,49
0,2,30,49
0,2,31,51
0,2,32,53
0,2,33,49
0,2,34,48
0,2,35,49
0,2,36,49
0,2,37,49
0,2,38,48
0,2,39,49
0,2,40,54
0,2,41,52
0,2,42,49
