dataSetIndex,algo_index,query_nums,single_time,accumulated_time
0,2,118,39,2423
0,2,119,16,2439
0,2,120,4,2443
0,2,121,8,2451
0,2,122,6,2457
0,2,123,7,2464
0,2,124,17,2481
0,2,125,2,2483
0,2,126,7,2490
0,2,127,2,2492
0,2,128,19,2511
0,2,129,40,2551
0,2,130,3,2554
0,2,131,7,2561
0,2,132,8,2569
0,2,133,3,2572
0,2,134,8,2580
0,2,135,18,2598
0,2,136,19,2617
0,2,137,19,2636
0,2,138,19,2655
0,2,139,14,2669
0,2,140,23,2692
0,2,141,15,2707
0,2,142,37,2744
0,2,143,5,2749
0,2,144,24,2773
0,2,145,23,2796
0,2,146,11,2807
0,2,147,10,2817
0,2,148,26,2843
0,2,149,18,2861
0,2,150,4,2865
0,2,151,20,2885
0,2,152,15,2900
0,2,153,26,2926
0,2,154,26,2952
0,2,155,4,2956
0,2,156,4,2960
0,2,157,19,2979
0,2,158,19,2998
0,2,159,34,3032
0,2,160,5,3037
0,2,161,17,3054
0,2,162,16,3070
0,2,163,21,3091
0,2,164,16,3107
0,2,165,19,3126
0,2,166,3,3129
0,2,167,19,3148
0,2,168,29,3177
0,2,169,21,3198
0,2,170,42,3240
0,2,171,41,3281
0,2,172,3,3284
0,2,173,19,3303
0,2,174,19,3322
0,2,175,16,3338
0,2,176,18,3356
0,2,177,30,3386
0,2,178,19,3405
0,2,179,20,3425
0,2,180,19,3444
0,2,181,20,3464
0,2,182,20,3484
0,2,183,25,3509
0,2,184,4,3513
0,2,185,3,3516
0,2,186,19,3535
0,2,187,19,3554
0,2,188,19,3573
0,2,189,19,3592
0,2,190,19,3611
0,2,191,20,3631
0,2,192,15,3646
0,2,193,25,3671
0,2,194,3,3674
0,2,195,14,3688
0,2,196,3,3691
0,2,197,4,3695
0,2,198,19,3714
0,2,199,4,3718
0,2,200,3,3721
0,3,1,67,67
0,3,2,62,129
0,3,3,59,188
0,3,4,60,248
0,3,5,58,306
0,3,6,59,365
0,3,7,59,424
0,3,8,58,482
0,3,9,59,541
0,3,10,57,598
0,3,11,58,656
0,3,12,58,714
0,3,13,58,772
0,3,14,59,831
0,3,15,60,891
0,3,16,59,950
0,3,17,58,1008
0,3,18,59,1067
0,3,19,58,1125
0,3,20,58,1183
0,3,21,61,1244
0,3,22,58,1302
0,3,23,58,1360
0,3,24,58,1418
0,3,25,57,1475
0,3,26,59,1534
0,3,27,58,1592
0,3,28,58,1650
0,3,29,62,1712
0,3,30,59,1771
0,3,31,72,1843
0,3,32,59,1902
0,3,33,58,1960
0,3,34,57,2017
0,3,35,58,2075
0,3,36,57,2132
0,3,37,58,2190
0,3,38,57,2247
0,3,39,56,2303
0,3,40,57,2360
0,3,41,57,2417
0,3,42,58,2475
0,3,43,59,2534
0,3,44,59,2593
0,3,45,61,2654
0,3,46,58,2712
0,3,47,58,2770
0,3,48,58,2828
0,3,49,57,2885
0,3,50,57,2942
0,3,51,57,2999
0,3,52,57,3056
0,3,53,57,3113
0,3,54,58,3171
0,3,55,56,3227
0,3,56,58,3285
0,3,57,57,3342
0,3,58,57,3399
0,3,59,57,3456
0,3,60,57,3513
0,3,61,59,3572
0,3,62,59,3631
0,3,63,59,3690
0,3,64,59,3749
0,3,65,58,3807
0,3,66,58,3865
0,3,67,57,3922
0,3,68,58,3980
0,3,69,61,4041
0,3,70,58,4099
0,3,71,58,4157
0,3,72,60,4217
0,3,73,59,4276
0,3,74,57,4333
0,3,75,57,4390
0,3,76,57,4447
0,3,77,60,4507
0,3,78,57,4564
0,3,79,58,4622
0,3,80,57,4679
0,3,81,57,4736
0,3,82,59,4795
0,3,83,58,4853
0,3,84,58,4911
0,3,85,58,4969
0,3,86,59,5028
0,3,87,58,5086
0,3,88,57,5143
0,3,89,57,5200
0,3,90,57,5257
0,3,91,57,5314
0,3,92,57,5371
0,3,93,57,5428
0,3,94,57,5485
0,3,95,57,5542
0,3,96,57,5599
0,3,97,58,5657
0,3,98,58,5715
0,3,99,56,5771
0,3,100,57,5828
0,3,101,57,5885
0,3,102,57,5942
0,3,103,56,5998
0,3,104,56,6054
0,3,105,57,6111
0,3,106,57,6168
0,3,107,57,6225
0,3,108,56,6281
0,3,109,58,6339
0,3,110,57,6396
0,3,111,58,6454
0,3,112,57,6511
0,3,113,58,6569
0,3,114,58,6627
0,3,115,59,6686
0,3,116,58,6744
0,3,117,58,6802
0,3,118,59,6861
0,3,119,58,6919
0,3,120,58,6977
0,3,121,58,7035
0,3,122,58,7093
0,3,123,58,7151
0,3,124,57,7208
0,3,125,58,7266
0,3,126,58,7324
0,3,127,58,7382
0,3,128,57,7439
0,3,129,58,7497
0,3,130,58,7555
0,3,131,58,7613
0,3,132,58,7671
0,3,133,63,7734
0,3,134,57,7791
0,3,135,57,7848
0,3,136,57,7905
0,3,137,58,7963
0,3,138,57,8020
0,3,139,58,8078
0,3,140,57,8135
0,3,141,57,8192
0,3,142,60,8252
0,3,143,66,8318
0,3,144,59,8377
0,3,145,60,8437
0,3,146,62,8499
0,3,147,61,8560
0,3,148,58,8618
0,3,149,61,8679
0,3,150,59,8738
0,3,151,60,8798
0,3,152,58,8856
0,3,153,58,8914
0,3,154,58,8972
0,3,155,59,9031
0,3,156,58,9089
0,3,157,58,9147
0,3,158,58,9205
0,3,159,59,9264
0,3,160,57,9321
0,3,161,58,9379
0,3,162,59,9438
0,3,163,61,9499
0,3,164,61,9560
0,3,165,60,9620
0,3,166,73,9693
0,3,167,62,9755
0,3,168,58,9813
0,3,169,59,9872
0,3,170,58,9930
0,3,171,59,9989
0,3,172,58,10047
0,3,173,59,10106
0,3,174,58,10164
0,3,175,61,10225
0,3,176,59,10284
0,3,177,62,10346
0,3,178,58,10404
0,3,179,58,10462
0,3,180,58,10520
0,3,181,57,10577
0,3,182,58,10635
0,3,183,58,10693
0,3,184,58,10751
0,3,185,59,10810
0,3,186,58,10868
0,3,187,58,10926
0,3,188,57,10983
0,3,189,56,11039
0,3,190,60,11099
0,3,191,57,11156
0,3,192,79,11235
0,3,193,64,11299
0,3,194,67,11366
0,3,195,65,11431
0,3,196,59,11490
0,3,197,60,11550
0,3,198,60,11610
0,3,199,59,11669
0,3,200,60,11729
0,4,1,57,57
0,4,2,49,106
0,4,3,46,152
0,4,4,48,200
0,4,5,35,235
0,4,6,47,282
0,4,7,50,332
0,4,8,48,380
0,4,9,49,429
0,4,10,51,480
0,4,11,51,531
0,4,12,49,580
0,4,13,50,630
0,4,14,48,678
0,4,15,48,726
0,4,16,44,770
0,4,17,43,813
0,4,18,49,862
0,4,19,48,910
0,4,20,48,958
0,4,21,49,1007
0,4,22,49,1056
0,4,23,49,1105
0,4,24,49,1154
0,4,25,49,1203
0,4,26,50,1253
0,4,27,49,1302
0,4,28,52,1354
0,4,29,58,1412
0,4,30,50,1462
0,4,31,51,1513
0,4,32,47,1560
0,4,33,48,1608
0,4,34,50,1658
0,4,35,47,1705
0,4,36,51,1756
0,4,37,52,1808
0,4,38,53,1861
0,4,39,54,1915
0,4,40,58,1973
0,4,41,67,2040
0,4,42,63,2103
0,4,43,59,2162
0,4,44,63,2225
0,4,45,56,2281
0,4,46,55,2336
0,4,47,49,2385
0,4,48,54,2439
0,4,49,50,2489
0,4,50,50,2539
0,4,51,54,2593
0,4,52,50,2643
0,4,53,50,2693
0,4,54,56,2749
0,4,55,55,2804
0,4,56,53,2857
0,4,57,68,2925
0,4,58,76,3001
0,4,59,65,3066
0,4,60,70,3136
0,4,61,61,3197
0,4,62,61,3258
0,4,63,61,3319
0,4,64,65,3384
0,4,65,79,3463
0,4,66,59,3522
0,4,67,57,3579
0,4,68,65,3644
0,4,69,66,3710
0,4,70,71,3781
0,4,71,62,3843
0,4,72,62,3905
0,4,73,52,3957
0,4,74,52,4009
0,4,75,52,4061
0,4,76,59,4120
0,4,77,55,4175
0,4,78,55,4230
0,4,79,54,4284
0,4,80,54,4338
0,4,81,53,4391
0,4,82,52,4443
0,4,83,55,4498
0,4,84,52,4550
0,4,85,56,4606
0,4,86,52,4658
0,4,87,51,4709
0,4,88,51,4760
0,4,89,51,4811
0,4,90,60,4871
0,4,91,56,4927
0,4,92,57,4984
0,4,93,57,5041
0,4,94,63,5104
0,4,95,53,5157
0,4,96,49,5206
0,4,97,49,5255
0,4,98,49,5304
0,4,99,49,5353
0,4,100,51,5404
0,4,101,51,5455
0,4,102,49,5504
0,4,103,49,5553
0,4,104,50,5603
0,4,105,49,5652
0,4,106,50,5702
0,4,107,50,5752
0,4,108,49,5801
0,4,109,48,5849
0,4,110,52,5901
0,4,111,49,5950
0,4,112,48,5998
0,4,113,50,6048
0,4,114,50,6098
0,4,115,49,6147
0,4,116,51,6198
0,4,117,53,6251
0,4,118,51,6302
0,4,119,49,6351
0,4,120,48,6399
0,4,121,48,6447
0,4,122,50,6497
0,4,123,48,6545
0,4,124,50,6595
